figure number,figure title,legend name,form,order,which.file,append legend,section.variable,x.variable,x.axis.title,y.variable,y.axis.title,facet.variable,coloration.override.variable,percentage.y.axis.title,data file,file type,section.compare,subset.variable,subset.criteria,Layout Name,wide.section.variable,lookup.series.variable,subset.agency.variable,use.all.agencies
,ContractObligatedAmount v. Contractbaseandexercisedoptionsvalue,,boxplot,2,2,FALSE,systemequipmentshorttext,IsFixedPrice,SumofObligatedAmount,SumOfisChangeOrder,SumOfbaseandexercisedoptionsvalue,,,,contract_CSIScontractID_sample_systemEquipmentCode.csv,SQL output,1,,,,,,Customer,FALSE
,ContractObligatedAmount v. Contractbaseandexercisedoptionsvalue,,histogram,2,2,FALSE,systemequipmentshorttext,pChangeOrderVsUnmodifiedBaseAndAll,SumofObligatedAmount,,SumOfbaseandexercisedoptionsvalue,IsFixedPrice,,,contract_CSIScontractID_sample_systemEquipmentCode_gte_2007.csv,SQL output,1,,,,,,Customer,FALSE
,ContractObligatedAmount v. Contractbaseandexercisedoptionsvalue,,density,2,2,FALSE,,pChangeOrderVsUnmodifiedBaseAndAll,SumofObligatedAmount,,SumOfbaseandexercisedoptionsvalue,IsFixedPrice,,,contract_CSIScontractID_sample_systemEquipmentCode_gte_2007.csv,SQL output,1,,,,,,Customer,FALSE
,ContractObligatedAmount v. Contractbaseandexercisedoptionsvalue,,boxplot,2,2,FALSE,systemequipmentshorttext,IsFixedPrice,SumofObligatedAmount,pChangeOrderVsUnmodifiedBaseAndAll,SumOfbaseandexercisedoptionsvalue,,,,contract_CSIScontractID_sample_systemEquipmentCode_gte_2007.csv,SQL output,1,,,,,,Customer,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,
,ContractObligatedAmount v. Contractbaseandexercisedoptionsvalue,,boxplot,2,2,FALSE,systemequipmentshorttext,MaxOfisChangeOrder,SumofObligatedAmount,pChangeOrderVsUnmodifiedBaseAndAll,SumOfbaseandexercisedoptionsvalue,IsFixedPrice,,,contract_CSIScontractID_sample_systemEquipmentCode_gte_2007.csv,SQL output,1,,,,,,Customer,FALSE
,,,boxplot,2,2,FALSE,systemequipmentshorttext,IsFixedPrice,SumofObligatedAmount,SumOfisChangeOrder,SumOfbaseandexercisedoptionsvalue,,,,contract_CSIScontractID_sample_systemEquipmentCode.csv,SQL output,1,MaxOfisChangeOrder,Change Order(s),,,,Customer,FALSE
,,,boxplot,2,2,FALSE,systemequipmentshorttext,IsFixedPrice,SumofObligatedAmount,pChangeOrderVsUnmodifiedBaseAndAll,SumOfbaseandexercisedoptionsvalue,,,,contract_CSIScontractID_sample_systemEquipmentCode_gte_2007.csv,SQL output,1,MaxOfisChangeOrder,Change Order(s),,,,Customer,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,
4.01,"Distribution of Log of Contract Obligations
by Major Defense Acquisition Project (2000-2013)",,histogram,2,2,FALSE,Overall,LogOfAction.Obligation,Log of Contract Obligations,,Number of Contracts,systemequipmentshorttext,,,contract_CSIScontractID_sample_systemEquipmentCode.csv,SQL output,1,,,,,,Customer,FALSE
4.02,"Number of Terminated Contracts
by Major Defense Acquisition Project (2000-2013)",,histogram,2,2,FALSE,Overall,IsTerminated,Termination Category,,Number of Contracts,systemequipmentshorttext,,,contract_CSIScontractID_sample_systemEquipmentCode.csv,SQL output,1,,,,,,Customer,FALSE
4.03,"Number of Changed Contracts
by Major Defense Acquisition Project (2000-2013)",,histogram,2,2,FALSE,Overall,MaxOfisChangeOrder,Change Order Category,,Number of Contracts,systemequipmentshorttext,,,contract_CSIScontractID_sample_systemEquipmentCode.csv,SQL output,1,,,,,,Customer,FALSE
4.04,"Distribution of Change Orders for Changed Contracts
by Major Defense Acquisition Project (2000-2013)",,histogram,2,2,FALSE,Overall,SumOfisChangeOrder,Number of Change Orders Per Contract,,Number of Contracts,systemequipmentshorttext,,,contract_CSIScontractID_sample_systemEquipmentCode.csv,SQL output,1,MaxOfisChangeOrder,Change Order(s),,,,Customer,FALSE
4.05,"Distribution of Change Orders for Changed Contracts 
by Major Defense Acquisition Project (2000-2013)",,boxplot,2,2,FALSE,Overall,systemequipmentshorttext,Major Defense Acquisition Project,SumOfisChangeOrder,Number of Change Orders Per Contract,,,,contract_CSIScontractID_sample_systemEquipmentCode.csv,SQL output,1,MaxOfisChangeOrder,Change Order(s),,,,Customer,FALSE
4.06,"Distribution of Potential Change Cost for Changed Contracts 
by Major Defense Acquisition Project (2007-2013)",,histogram,2,2,FALSE,Overall,pChangeOrderVsUnmodifiedBaseAndAll,"% Growth in  Base and All Options Value Amount
from Change Orders",,Number of Contracts,systemequipmentshorttext,,,contract_CSIScontractID_sample_systemEquipmentCode_gte_2007.csv,SQL output,1,MaxOfisChangeOrder,Change Order(s),,,,Customer,FALSE
4.07,"Distribution of Potential Change Cost for Changed Contracts 
by Major Defense Acquisition Project (2007-2013)",,boxplot,2,2,FALSE,Overall,systemequipmentshorttext,Major Defense Acquisition Project,pChangeOrderVsUnmodifiedBaseAndAll,"% Growth in  Base and All Options Value Amount
from Change Orders",,,,contract_CSIScontractID_sample_systemEquipmentCode_gte_2007.csv,SQL output,1,MaxOfisChangeOrder,Change Order(s),,,,Customer,FALSE
4.08,"Initial Extent of Competition 
by Major Defense Acquisition Project (2000-2013)",,histogram,2,2,FALSE,Overall,IsSomeCompetition,Initial Extent of Competition Category,,Number of Contracts,systemequipmentshorttext,,,contract_CSIScontractID_sample_systemEquipmentCode.csv,SQL output,1,,,,,,Customer,FALSE
4.09,"Categories of Number of Offers for Competed Contracts 
by Major Defense Acquisition Project (2000-2013)",,histogram,2,2,FALSE,Overall,UnmodifiedNumberOfOffersSummary,Category of Initial Number of Offers Received,,Number of Contracts,systemequipmentshorttext,,,contract_CSIScontractID_sample_systemEquipmentCode_IsCompeted.csv,SQL output,1,,,,,,Customer,FALSE
4.1,"Distribution of Number of Offers for Labeled Competed Contracts 
by Major Defense Acquisition Project (2000-2013)",,boxplot,2,2,FALSE,Overall,systemequipmentshorttext,Major Defense Acquisition Project,UnmodifiedNumberOfOffersReceived,Initial Number of Offers Received,,,,contract_CSIScontractID_sample_systemEquipmentCode_IsCompeted.csv,SQL output,1,,,,,,Customer,FALSE
